TransactionReference,ValueDate,CustomerAccount,Counterparty,AmountMinorUnits,CurrencyCode,TransactionType,SettlementStatus
B000043,2026-02-06,ACC0011,Kite Digital,3373,GBP,DEBIT,RETURNED
B000044,2026-02-05,ACC0094,Dhillon & Sons,8759,GBP,CREDIT,SETTLED
B000045,2026-03-17,ACC0011,"Wembley Tyres, Ltd",14707,GBP,DEBIT,SETTLED
B000046,2026-01-23,ACC0038,Petra Logistics,6543,GBP,CREDIT,SETTLED
B000047,2026-03-04,ACC0012,"Marlow ""Fine"" Foods",3515,GBP,DEBIT,SETTLED
B000048,2026-03-08,ACC0047,Sandbrook Utilities,21831,GBP,DEBIT,UNSETTLED
B000049,2026-01-04,ACC0056,Petra Logistics,4197,GBP,DEBIT,SETTLED
B000050,2026-03-08,ACC0019,Ashvale Clinic,5137,GBP,DEBIT,SETTLED
B000051,2026-03-08,ACC0054,"Wembley Tyres, Ltd",15566,GBP,DEBIT,SETTLED
B000052,2026-03-28,ACC0078,Bolt & Screw Ltd,9941,GBP,CREDIT,RETURNED
B000053,2026-02-13,ACC0015,Harrow Sports Club,6706,GBP,DEBIT,RETURNED
B000054,2026-01-01,ACC0007,Ashvale Clinic,1935,GBP,CREDIT,UNSETTLED
B000055,2026-02-24,ACC0007,The Old Print Works,38599,GBP,CREDIT,UNSETTLED
B000056,2026-02-08,ACC0013,Ashvale Clinic,3931,GBP,DEBIT,SETTLED
B000057,2026-01-06,ACC0120,Ashvale Clinic,10709,GBP,CREDIT,RETURNED
B000058,2026-03-13,ACC0017,Dhillon & Sons,5713,GBP,DEBIT,RETURNED
B000059,2026-03-18,ACC0101,Kite Digital,,GBP,CREDIT,SETTLED
B000060,2026-01-01,ACC0047,Ashvale Clinic,3829,GBP,CREDIT,SETTLED
B000061,2026-03-17,ACC0073,Corner Cafe,9527,GBP,DEBIT,SETTLED
B000062,2026-03-31,ACC0106,"Marlow ""Fine"" Foods",2449,GBP,DEBIT,SETTLED
B000063,2026-03-05,ACC0114,Sandbrook Utilities,5724,GBP,CREDIT,SETTLED
B000064,2026-02-12,ACC0049,Ashvale Clinic,21994,GBP,DEBIT,UNSETTLED
B000065,2026-01-22,ACC0055,Bolt & Screw Ltd,26643,GBP,CREDIT,SETTLED
B000066,2026-03-01,ACC0109,Kite Digital,2489,GBP,DEBIT,SETTLED
B000067,2026-01-02,ACC0053,Bolt & Screw Ltd,2554,GBP,DEBIT,SETTLED
B000068,2026-01-29,ACC0113,Harrow Sports Club,10648,GBP,DEBIT,SETTLED
B000069,2026-02-22,ACC0052,Bolt & Screw Ltd,9765,GBP,DEBIT,UNSETTLED
B000070,2026-02-24,ACC0075,Harrow Sports Club,21848,GBP,DEBIT,UNSETTLED
B000071,2026-03-23,ACC0057,Harrow Sports Club,4806,GBP,DEBIT,SETTLED
B000072,2026-01-22,ACC0077,Petra Logistics,9635,GBP,CREDIT,UNSETTLED
B000073,2026-03-01,ACC0095,Bolt & Screw Ltd,9672,GBP,DEBIT,UNSETTLED
B000074,2026-01-05,ACC0041,Sandbrook Utilities,2411,GBP,CREDIT,UNSETTLED
B000075,2026-02-23,ACC0063,Sandbrook Utilities,11878,GBP,CREDIT,UNSETTLED
B000076,2026-03-13,ACC0078,Kite Digital,11390,GBP,CREDIT,RETURNED
B000077,2026-03-16,ACC0051,Corner Cafe,14082,GBP,DEBIT,RETURNED
B000078,2026-02-14,ACC0024,Petra Logistics,3081,GBP,DEBIT,SETTLED
B000079,2026-03-19,ACC0041,Dhillon & Sons,4012,GBP,DEBIT,SETTLED
B000080,2026-02-24,ACC0067,Harrow Sports Club,3836,GBP,DEBIT,UNSETTLED
B000081,2026-03-08,ACC0117,"Wembley Tyres, Ltd",133708,GBP,CREDIT,SETTLED
B000082,2026-01-23,ACC0093,The Old Print Works,11798,GBP,DEBIT,SETTLED
B000083,2026-01-03,ACC0116,Ashvale Clinic,6436,GBP,DEBIT,RETURNED
B000084,2026-02-08,ACC0017,Dhillon & Sons,23727,GBP,CREDIT,RETURNED
B000085,2026-02-01,ACC0047,Petra Logistics,8546,GBP,DEBIT,SETTLED
B000086,2026-01-29,ACC0108,Dhillon & Sons,7930,GBP,DEBIT,SETTLED
B000087,2026-01-17,ACC0082,The Old Print Works,1104,GBP,CREDIT,SETTLED
B000088,2026-01-16,ACC0028,Petra Logistics,7499,GBP,DEBIT,UNSETTLED
B000089,2026-02-15,ACC0093,Sandbrook Utilities,9609,GBP,DEBIT,SETTLED
B000090,2026-02-28,ACC0084,Harrow Sports Club,3726,GBP,CREDIT,SETTLED
B000091,2026-03-14,ACC0052,Petra Logistics,14579,GBP,DEBIT,RETURNED
B000092,2026-03-26,ACC0089,The Old Print Works,7380,GBP,DEBIT,SETTLED
B000093,2026-03-01,ACC0050,Petra Logistics,8519,GBP,DEBIT,SETTLED
B000094,2026-03-06,ACC0058,"Marlow ""Fine"" Foods",1561,GBP,DEBIT,SETTLED
B000095,2026-02-02,ACC0099,Kite Digital,2849,GBP,CREDIT,RETURNED
B000096,2026-03-08,ACC0039,Harrow Sports Club,20789,GBP,CREDIT,UNSETTLED
B000097,2026-03-05,ACC0023,Ashvale Clinic,20136,GBP,DEBIT,SETTLED
B000098,2026-03-27,ACC0061,Petra Logistics,23535,GBP,CREDIT,RETURNED
B000099,2026-01-05,ACC0015,Dhillon & Sons,2492,GBP,DEBIT,RETURNED
B000100,2026-01-12,ACC0083,Northline Freight,1380,GBP,DEBIT,SETTLED
B000101,2026-01-12,ACC0020,The Old Print Works,3757,GBP,DEBIT,UNSETTLED
B000102,2026-01-02,ACC0001,"Marlow ""Fine"" Foods",789,GBP,DEBIT,UNSETTLED
B000103,2026-02-02,ACC0107,Harrow Sports Club,10871,GBP,DEBIT,SETTLED
B000104,2026-03-19,ACC0079,Petra Logistics,36043,GBP,DEBIT,SETTLED
B000105,2026-02-16,ACC0017,"Marlow ""Fine"" Foods",3414,GBP,CREDIT,RETURNED
B000106,2026-01-09,ACC0115,Corner Cafe,9041,GBP,DEBIT,UNSETTLED
B000107,2026-02-25,ACC0023,Dhillon & Sons,32221,GBP,DEBIT,UNSETTLED
B000108,2026-01-09,ACC0093,Petra Logistics,18125,GBP,DEBIT,UNSETTLED
B000109,2026-03-02,ACC0005,"Wembley Tyres, Ltd",7314,GBP,CREDIT,UNSETTLED
B000110,2026-03-21,ACC0049,Sandbrook Utilities,3576,GBP,DEBIT,UNSETTLED
B000111,2026-03-31,ACC0105,Sandbrook Utilities,5704,GBP,DEBIT,SETTLED
B000112,2026-02-28,ACC0036,"Marlow ""Fine"" Foods",30725,GBP,DEBIT,RETURNED
B000113,2026-01-02,ACC0089,"Marlow ""Fine"" Foods",13944,GBP,CREDIT,SETTLED
B000114,2026-03-03,ACC0047,"Wembley Tyres, Ltd",2824,GBP,CREDIT,UNSETTLED
B000115,2026-03-18,ACC0091,Sandbrook Utilities,38691,GBP,DEBIT,UNSETTLED
B000116,2026-01-10,ACC0010,Dhillon & Sons,5214,GBP,DEBIT,SETTLED
B000117,2026-01-15,ACC0065,Ashvale Clinic,7664,GBP,DEBIT,SETTLED
B000118,2026-01-03,ACC0092,"Wembley Tyres, Ltd",13295,GBP,DEBIT,SETTLED
B000119,2026-01-30,ACC0082,"Wembley Tyres, Ltd",3047,GBP,CREDIT,RETURNED
B000120,2026-03-28,ACC0033,Sandbrook Utilities,743,GBP,DEBIT,SETTLED
B000121,2026-01-29,ACC0041,Ashvale Clinic,19907,GBP,CREDIT,RETURNED
B000122,2026-01-25,ACC0112,"Wembley Tyres, Ltd",6681,GBP,CREDIT,SETTLED
B000123,2026-02-20,ACC0079,"Marlow ""Fine"" Foods",5656,GBP,CREDIT,SETTLED
B000124,2026-03-17,ACC0077,Corner Cafe,9233,GBP,DEBIT,SETTLED
B000125,2026-01-30,ACC0046,Dhillon & Sons,11602,GBP,DEBIT,SETTLED
B000126,2026-01-27,ACC0079,Petra Logistics,7005,GBP,DEBIT,RETURNED
B000127,2026-02-19,ACC0003,"Marlow ""Fine"" Foods",9602,GBP,DEBIT,RETURNED
B000128,2026-02-13,ACC0001,The Old Print Works,25722,GBP,CREDIT,UNSETTLED
B000129,2026-01-13,ACC0048,Corner Cafe,10947,GBP,DEBIT,SETTLED
B000130,2026-03-29,ACC0076,Dhillon & Sons,12104,GBP,DEBIT,SETTLED
B000131,2026-03-08,ACC0066,The Old Print Works,9303,GBP,DEBIT,SETTLED
B000132,2026-03-19,ACC0119,"Wembley Tyres, Ltd",2656,GBP,DEBIT,UNSETTLED
B000133,2026-01-14,ACC0063,Dhillon & Sons,964,GBP,DEBIT,SETTLED
B000134,2026-01-22,ACC0004,The Old Print Works,11836,GBP,DEBIT,UNSETTLED
B000135,2026-01-28,ACC0022,Northline Freight,7054,GBP,CREDIT,RETURNED
B000136,2026-03-22,ACC0088,The Old Print Works,15966,GBP,CREDIT,RETURNED
B000137,2026-01-02,ACC0002,Dhillon & Sons,12930,GBP,CREDIT,SETTLED
B000138,2026-01-12,ACC0071,Dhillon & Sons,24963,GBP,DEBIT,UNSETTLED
B000139,2026-02-20,ACC0113,Northline Freight,,GBP,CREDIT,SETTLED
B000140,2026-01-15,ACC0029,"Marlow ""Fine"" Foods",6458,GBP,DEBIT,RETURNED
B000141,2026-03-06,ACC0030,Bolt & Screw Ltd,11153,GBP,CREDIT,SETTLED
B000142,2026-02-26,ACC0017,Sandbrook Utilities,5953,GBP,DEBIT,UNSETTLED
B000143,2026-03-22,ACC0008,"Wembley Tyres, Ltd",13341,GBP,DEBIT,SETTLED
B000144,2026-01-07,ACC0052,The Old Print Works,1366,GBP,CREDIT,RETURNED
B000145,2026-02-20,ACC0117,Sandbrook Utilities,3237,GBP,DEBIT,UNSETTLED
B000146,2026-01-02,ACC0113,Corner Cafe,21919,GBP,DEBIT,UNSETTLED
B000147,2026-03-15,ACC0057,"Marlow ""Fine"" Foods",15398,GBP,CREDIT,RETURNED
B000148,2026-02-17,ACC0062,Northline Freight,1367,GBP,DEBIT,SETTLED
B000149,2026-01-13,ACC0036,Ashvale Clinic,3727,GBP,DEBIT,SETTLED
B000150,2026-03-29,ACC0018,Corner Cafe,2320,GBP,DEBIT,SETTLED
B000151,2026-03-26,ACC0054,"Wembley Tyres, Ltd",16250,GBP,CREDIT,UNSETTLED
B000152,2026-01-06,ACC0007,Ashvale Clinic,25453,GBP,CREDIT,UNSETTLED
B000153,2026-01-22,ACC0077,Kite Digital,19954,GBP,DEBIT,SETTLED
B000154,2026-01-16,ACC0086,Kite Digital,9225,GBP,DEBIT,UNSETTLED
B000155,2026-03-24,ACC0115,The Old Print Works,5470,GBP,CREDIT,SETTLED
B000156,2026-02-19,ACC0038,Kite Digital,1581,GBP,CREDIT,SETTLED
B000157,2026-03-06,ACC0033,Kite Digital,7016,GBP,DEBIT,RETURNED
B000158,2026-01-04,ACC0056,Ashvale Clinic,3970,GBP,CREDIT,SETTLED
B000159,2026-01-18,ACC0010,Petra Logistics,34842,GBP,DEBIT,SETTLED
B000160,2026-02-21,ACC0028,Bolt & Screw Ltd,6135,GBP,DEBIT,UNSETTLED
B000161,2026-01-12,ACC0012,"Marlow ""Fine"" Foods",12631,GBP,DEBIT,SETTLED
B000162,2026-03-31,ACC0044,Sandbrook Utilities,23010,GBP,CREDIT,SETTLED
B000163,2026-02-17,ACC0031,Petra Logistics,5416,GBP,DEBIT,SETTLED
B000164,2026-03-14,ACC0093,Ashvale Clinic,10400,GBP,DEBIT,SETTLED
B000165,2026-01-25,ACC0063,Northline Freight,2457,GBP,DEBIT,SETTLED
B000166,2026-03-10,ACC0075,"Wembley Tyres, Ltd",10767,GBP,DEBIT,UNSETTLED
B000167,2026-01-18,ACC0085,Corner Cafe,12792,GBP,DEBIT,SETTLED
B000168,2026-02-28,ACC0085,Bolt & Screw Ltd,6182,GBP,CREDIT,RETURNED
B000169,2026-02-08,ACC0077,"Wembley Tyres, Ltd",2416,GBP,DEBIT,UNSETTLED
B000170,2026-01-03,ACC0064,Petra Logistics,4457,GBP,DEBIT,UNSETTLED
B000171,2026-02-21,ACC0003,The Old Print Works,3475,GBP,DEBIT,UNSETTLED
B000172,2026-02-07,ACC0042,Kite Digital,11751,GBP,DEBIT,UNSETTLED
B000173,2026-02-18,ACC0084,"Wembley Tyres, Ltd",10215,GBP,DEBIT,RETURNED
B000174,2026-03-24,ACC0093,"Marlow ""Fine"" Foods",22931,GBP,CREDIT,RETURNED
B000175,2026-01-07,ACC0001,"Marlow ""Fine"" Foods",1260,GBP,DEBIT,RETURNED
B000176,2026-01-18,ACC0088,Ashvale Clinic,5414,GBP,DEBIT,RETURNED
B000177,2026-02-27,ACC0093,"Wembley Tyres, Ltd",13046,GBP,CREDIT,UNSETTLED
B000178,2026-01-06,ACC0055,"Wembley Tyres, Ltd",4984,GBP,DEBIT,SETTLED
B000179,2026-01-04,ACC0063,"Marlow ""Fine"" Foods",14137,GBP,CREDIT,SETTLED
B000180,2026-01-11,ACC0041,Ashvale Clinic,3933,GBP,DEBIT,SETTLED
B000181,2026-01-03,ACC0115,Harrow Sports Club,16715,GBP,DEBIT,RETURNED
B000182,2026-03-21,ACC0066,Sandbrook Utilities,34298,GBP,DEBIT,UNSETTLED
B000183,2026-01-10,ACC0018,Ashvale Clinic,1155,GBP,DEBIT,SETTLED
B000184,2026-02-03,ACC0079,The Old Print Works,5546,GBP,DEBIT,UNSETTLED
B000185,2026-03-01,ACC0064,Bolt & Screw Ltd,11709,GBP,CREDIT,SETTLED
B000186,2026-03-08,ACC0027,Sandbrook Utilities,1804,GBP,CREDIT,SETTLED
B000187,2026-03-16,ACC0021,"Wembley Tyres, Ltd",2156,GBP,CREDIT,SETTLED
B000188,2026-02-16,ACC0067,Sandbrook Utilities,1072,GBP,CREDIT,UNSETTLED
B000189,2026-03-10,ACC0114,Petra Logistics,9769,GBP,DEBIT,RETURNED
B000190,2026-03-22,ACC0044,Harrow Sports Club,9773,GBP,DEBIT,SETTLED
B000191,2026-01-04,ACC0025,"Wembley Tyres, Ltd",11420,GBP,DEBIT,UNSETTLED
B000192,2026-02-15,ACC0065,Ashvale Clinic,5586,GBP,CREDIT,UNSETTLED
B000193,2026-02-13,ACC0108,Ashvale Clinic,2642,GBP,CREDIT,SETTLED
B000194,2026-01-25,ACC0094,Sandbrook Utilities,2724,GBP,CREDIT,RETURNED
B000195,2026-02-14,ACC0050,"Wembley Tyres, Ltd",5095,GBP,DEBIT,SETTLED
B000196,2026-03-06,ACC0049,Corner Cafe,2290,GBP,DEBIT,RETURNED
B000197,2026-02-20,ACC0007,Bolt & Screw Ltd,2334,GBP,DEBIT,SETTLED
B000198,2026-02-07,ACC0086,Harrow Sports Club,1820,GBP,DEBIT,SETTLED
B000199,2026-02-05,ACC0070,Dhillon & Sons,3977,GBP,DEBIT,RETURNED
B000200,2026-02-02,ACC0078,Ashvale Clinic,2586,GBP,CREDIT,UNSETTLED
B000201,2026-01-09,ACC0034,Northline Freight,26050,GBP,DEBIT,SETTLED
B000202,2026-02-10,ACC0015,Ashvale Clinic,1376,GBP,CREDIT,SETTLED
B000203,2026-03-21,ACC0079,"Wembley Tyres, Ltd",7616,GBP,DEBIT,UNSETTLED
B000204,2026-01-11,ACC0106,Corner Cafe,8703,GBP,DEBIT,RETURNED
B000205,2026-01-30,ACC0101,Corner Cafe,5622,GBP,CREDIT,RETURNED
B000206,2026-03-05,ACC0070,Ashvale Clinic,8842,GBP,DEBIT,RETURNED
B000207,2026-01-09,ACC0030,Bolt & Screw Ltd,1994,GBP,DEBIT,SETTLED
B000208,2026-02-22,ACC0110,"Marlow ""Fine"" Foods",6159,GBP,DEBIT,UNSETTLED
B000209,2026-02-27,ACC0016,Bolt & Screw Ltd,19750,GBP,DEBIT,RETURNED
B000210,2026-01-21,ACC0120,Harrow Sports Club,7524,GBP,CREDIT,SETTLED
B000211,2026-03-15,ACC0073,"Marlow ""Fine"" Foods",57500,GBP,DEBIT,SETTLED
B000212,2026-03-06,ACC0004,Petra Logistics,5468,GBP,DEBIT,SETTLED
B000213,2026-02-17,ACC0012,Petra Logistics,18701,GBP,DEBIT,RETURNED
B000214,2026-03-03,ACC0120,Dhillon & Sons,10621,GBP,DEBIT,SETTLED
B000215,2026-02-18,ACC0071,Northline Freight,4480,GBP,DEBIT,SETTLED
B000216,2026-01-27,ACC0069,The Old Print Works,3192,GBP,CREDIT,SETTLED
B000217,2026-03-01,ACC0022,Ashvale Clinic,19490,GBP,CREDIT,SETTLED
B000218,2026-01-07,ACC0021,Sandbrook Utilities,8650,GBP,DEBIT,SETTLED
B000219,2026-01-27,ACC0106,Corner Cafe,1326,GBP,DEBIT,SETTLED
B000220,2026-01-01,ACC0092,Ashvale Clinic,2933,GBP,DEBIT,RETURNED
B000221,2026-02-02,ACC0071,Corner Cafe,3612,GBP,CREDIT,SETTLED
B000222,2026-01-27,ACC0042,The Old Print Works,7457,GBP,DEBIT,RETURNED
B000223,2026-01-31,ACC0089,"Wembley Tyres, Ltd",11729,GBP,CREDIT,RETURNED
B000224,2026-01-15,ACC0050,Sandbrook Utilities,5531,GBP,DEBIT,SETTLED
B000225,2026-02-12,ACC0027,The Old Print Works,15929,GBP,DEBIT,RETURNED
B000226,2026-03-30,ACC0026,Corner Cafe,2831,GBP,DEBIT,RETURNED
B000227,2026-02-28,ACC0023,Corner Cafe,5717,GBP,DEBIT,SETTLED
B000228,2026-03-16,ACC0036,The Old Print Works,3360,GBP,DEBIT,UNSETTLED
B000229,2026-03-01,ACC0004,Bolt & Screw Ltd,3317,GBP,DEBIT,SETTLED
B000230,2026-02-21,ACC0105,Northline Freight,3700,GBP,DEBIT,RETURNED
B000231,2026-02-19,ACC0041,Bolt & Screw Ltd,6026,GBP,DEBIT,SETTLED
B000232,2026-01-26,ACC0083,Sandbrook Utilities,4141,GBP,DEBIT,SETTLED
B000233,2026-03-22,ACC0070,Bolt & Screw Ltd,2517,GBP,DEBIT,SETTLED
B000234,2026-03-20,ACC0100,Harrow Sports Club,34470,GBP,DEBIT,SETTLED
B000235,2026-03-08,ACC0119,Petra Logistics,3278,GBP,CREDIT,SETTLED
B000236,2026-03-22,ACC0045,Bolt & Screw Ltd,41441,GBP,DEBIT,UNSETTLED
B000237,2026-02-06,ACC0006,Bolt & Screw Ltd,3148,GBP,DEBIT,RETURNED
B000238,2026-02-13,ACC0065,The Old Print Works,4641,GBP,DEBIT,RETURNED
B000239,2026-01-06,ACC0087,Harrow Sports Club,3397,GBP,DEBIT,SETTLED
B000240,2026-03-26,ACC0042,Sandbrook Utilities,13559,GBP,DEBIT,SETTLED
B000241,2026-02-09,ACC0044,The Old Print Works,7341,GBP,DEBIT,UNSETTLED
B000242,2026-03-03,ACC0046,Bolt & Screw Ltd,3224,GBP,DEBIT,RETURNED
B000243,2026-02-25,ACC0099,Northline Freight,9055,GBP,DEBIT,SETTLED
B000244,2026-03-22,ACC0083,Ashvale Clinic,13560,GBP,DEBIT,SETTLED
B000245,2026-02-03,ACC0082,Kite Digital,1885,GBP,DEBIT,SETTLED
B000246,2026-01-18,ACC0005,Corner Cafe,23025,GBP,CREDIT,UNSETTLED
B000247,2026-01-31,ACC0043,Ashvale Clinic,7141,GBP,DEBIT,RETURNED
B000248,2026-01-06,ACC0111,Dhillon & Sons,4862,GBP,CREDIT,RETURNED
B000249,2026-01-26,ACC0090,Northline Freight,12483,GBP,CREDIT,RETURNED
B000250,2026-03-22,ACC0052,Northline Freight,1942,GBP,DEBIT,RETURNED
B000251,2026-03-08,ACC0043,Dhillon & Sons,4689,GBP,CREDIT,SETTLED
B000252,2026-02-11,ACC0002,Kite Digital,2885,GBP,DEBIT,SETTLED
B000253,2026-01-18,ACC0091,Kite Digital,55496,GBP,DEBIT,SETTLED
B000254,2026-01-31,ACC0052,Harrow Sports Club,28360,GBP,DEBIT,SETTLED
B000255,2026-01-20,ACC0075,"Marlow ""Fine"" Foods",2388,GBP,DEBIT,RETURNED
B000256,2026-01-06,ACC0097,Northline Freight,13015,GBP,DEBIT,SETTLED
B000257,2026-01-12,ACC0009,"Marlow ""Fine"" Foods",3098,GBP,DEBIT,UNSETTLED
B000258,2026-01-15,ACC0070,Kite Digital,2831,GBP,CREDIT,RETURNED
B000259,2026-02-15,ACC0080,Dhillon & Sons,15132,GBP,CREDIT,UNSETTLED
B000260,2026-01-22,ACC0033,Dhillon & Sons,3478,GBP,CREDIT,UNSETTLED
B000261,2026-03-12,ACC0037,Kite Digital,38656,GBP,CREDIT,SETTLED
B000262,2026-03-08,ACC0056,Kite Digital,1993,GBP,DEBIT,RETURNED
B000263,2026-01-28,ACC0093,Bolt & Screw Ltd,4592,GBP,DEBIT,RETURNED
B000264,2026-03-25,ACC0100,Kite Digital,6423,GBP,CREDIT,UNSETTLED
B000265,2026-03-11,ACC0021,Harrow Sports Club,11017,GBP,DEBIT,SETTLED
B000266,2026-01-08,ACC0119,Ashvale Clinic,26072,GBP,DEBIT,SETTLED
B000267,2026-03-29,ACC0033,Kite Digital,7329,GBP,DEBIT,RETURNED
B000268,2026-02-25,ACC0044,The Old Print Works,6877,GBP,DEBIT,SETTLED
B000269,2026-03-05,ACC0041,Dhillon & Sons,2493,GBP,DEBIT,SETTLED
B000270,2026-02-01,ACC0046,The Old Print Works,20136,GBP,DEBIT,SETTLED
B000271,2026-02-19,ACC0102,Corner Cafe,3112,GBP,DEBIT,UNSETTLED
B000272,2026-03-05,ACC0032,Harrow Sports Club,16260,GBP,DEBIT,SETTLED
B000273,2026-01-02,ACC0055,Dhillon & Sons,6106,GBP,DEBIT,SETTLED
B000274,2026-03-15,ACC0098,Petra Logistics,7322,GBP,DEBIT,SETTLED
B000275,2026-02-19,ACC0019,The Old Print Works,4308,GBP,DEBIT,SETTLED
B000276,2026-01-17,ACC0093,Corner Cafe,14775,GBP,DEBIT,SETTLED
B000277,2026-03-07,ACC0093,Bolt & Screw Ltd,1778,GBP,DEBIT,UNSETTLED
B000278,2026-03-10,ACC0066,Petra Logistics,10676,GBP,DEBIT,SETTLED
B000279,2026-02-02,ACC0084,Bolt & Screw Ltd,5231,GBP,DEBIT,SETTLED
B000280,2026-03-23,ACC0103,Harrow Sports Club,842,GBP,CREDIT,SETTLED
B000281,2026-01-04,ACC0025,Bolt & Screw Ltd,7708,GBP,CREDIT,UNSETTLED
B000282,2026-03-04,ACC0054,Harrow Sports Club,8871,GBP,CREDIT,UNSETTLED
B000283,2026-03-09,ACC0037,Petra Logistics,6449,GBP,DEBIT,SETTLED
B000284,2026-02-17,ACC0078,Corner Cafe,35896,GBP,DEBIT,SETTLED
B000285,2026-01-24,ACC0020,Dhillon & Sons,49125,GBP,DEBIT,SETTLED
B000286,2026-03-31,ACC0106,Sandbrook Utilities,5044,GBP,DEBIT,UNSETTLED
B000287,2026-03-12,ACC0058,Petra Logistics,26973,GBP,DEBIT,UNSETTLED
B000288,2026-03-18,ACC0040,Petra Logistics,2754,GBP,DEBIT,RETURNED
B000289,2026-01-14,ACC0037,Sandbrook Utilities,2235,GBP,CREDIT,SETTLED
B000290,2026-03-29,ACC0028,Sandbrook Utilities,3020,GBP,DEBIT,SETTLED
B000291,2026-02-20,ACC0089,"Marlow ""Fine"" Foods",12174,GBP,CREDIT,SETTLED
B000292,2026-02-16,ACC0102,Sandbrook Utilities,4175,GBP,CREDIT,UNSETTLED
B000293,2026-03-06,ACC0039,"Wembley Tyres, Ltd",7021,GBP,CREDIT,SETTLED
B000294,2026-03-30,ACC0057,Sandbrook Utilities,5969,GBP,CREDIT,SETTLED
B000295,2026-02-13,ACC0065,The Old Print Works,2083,GBP,DEBIT,RETURNED
B000296,2026-01-14,ACC0002,Ashvale Clinic,7575,GBP,DEBIT,SETTLED
