account_id,account_name,region,opened_date,risk_band
ACC0041,Ashvale Clinic 41,Scotland,29/12/2021,A
ACC0042,Kite Digital 42,Scotland,04/04/2023,C
ACC0043,The Old Print Works 43,North West,15/11/2024,C
ACC0044,Petra Logistics 44,North West,08/02/2025,B
ACC0045,Bolt & Screw Ltd 45,South East,26/12/2022,B
ACC0046,Bolt & Screw Ltd 46,Midlands,01/02/2022,A
ACC0047,Bolt & Screw Ltd 47,London,12/04/2022,B
ACC0048,Sandbrook Utilities 48,London,02/06/2023,A
ACC0049,Bolt & Screw Ltd 49,South East,05/01/2022,C
ACC0050,Harrow Sports Club 50,Midlands,05/07/2023,B
ACC0051,Kite Digital 51,London,22/10/2024,C
ACC0052,Kite Digital 52,North West,29/09/2022,B
ACC0053,Bolt & Screw Ltd 53,South East,18/11/2024,B
ACC0054,Ashvale Clinic 54,Midlands,09/10/2022,B
ACC0055,Sandbrook Utilities 55,London,21/04/2024,B
ACC0056,Harrow Sports Club 56,Scotland,21/04/2025,B
ACC0057,Petra Logistics 57,London,21/07/2021,B
ACC0058,Sandbrook Utilities 58,Midlands,08/07/2024,B
ACC0059,"Wembley Tyres, Ltd 59",Scotland,02/06/2022,B
ACC0060,Petra Logistics 60,South East,07/01/2022,B
ACC0061,"Wembley Tyres, Ltd 61",North West,22/04/2021,B
ACC0062,"Wembley Tyres, Ltd 62",Scotland,10/09/2022,B
ACC0063,Ashvale Clinic 63,London,19/04/2025,B
ACC0064,Kite Digital 64,Midlands,15/05/2024,B
ACC0065,Kite Digital 65,Midlands,31/05/2023,A
ACC0066,"Wembley Tyres, Ltd 66",London,08/03/2024,C
ACC0067,"Wembley Tyres, Ltd 67",Midlands,23/04/2024,C
ACC0068,"Marlow ""Fine"" Foods 68",Scotland,28/09/2020,A
ACC0069,Kite Digital 69,Midlands,21/12/2020,A
ACC0070,Petra Logistics 70,London,12/04/2023,B
ACC0071,Kite Digital 71,South East,09/01/2023,B
ACC0072,Bolt & Screw Ltd 72,North West,10/11/2022,C
ACC0073,Ashvale Clinic 73,London,23/05/2021,B
ACC0074,Harrow Sports Club 74,South East,20/04/2025,B
ACC0075,"Marlow ""Fine"" Foods 75",North West,07/12/2020,B
ACC0076,"Marlow ""Fine"" Foods 76",Scotland,18/10/2022,B
ACC0077,Harrow Sports Club 77,Scotland,20/05/2022,B
ACC0078,Corner Cafe 78,London,21/12/2020,A
ACC0079,Sandbrook Utilities 79,South East,09/01/2023,B
ACC0080,"Wembley Tyres, Ltd 80",London,17/01/2024,B
ACC0081,Northline Freight 81,Scotland,09/02/2024,B
ACC0082,Northline Freight 82,Scotland,08/02/2023,B
ACC0083,Corner Cafe 83,Midlands,20/11/2022,C
ACC0084,Sandbrook Utilities 84,South East,22/06/2022,B
ACC0085,Sandbrook Utilities 85,Scotland,08/05/2025,C
ACC0086,Harrow Sports Club 86,Scotland,07/06/2025,B
ACC0087,Harrow Sports Club 87,South East,20/10/2022,A
ACC0088,Sandbrook Utilities 88,London,18/08/2023,C
ACC0089,Bolt & Screw Ltd 89,Scotland,19/02/2025,B
ACC0090,"Wembley Tyres, Ltd 90",Midlands,21/03/2025,A
ACC0091,Sandbrook Utilities 91,North West,22/04/2022,A
ACC0092,Bolt & Screw Ltd 92,North West,19/08/2023,B
ACC0093,Ashvale Clinic 93,Midlands,02/12/2022,C
ACC0094,Sandbrook Utilities 94,South East,15/07/2021,B
ACC0095,Sandbrook Utilities 95,South East,29/09/2020,C
ACC0096,Harrow Sports Club 96,North West,09/10/2024,C
ACC0097,Kite Digital 97,Midlands,18/01/2025,B
ACC0098,The Old Print Works 98,London,06/04/2024,B
ACC0099,Bolt & Screw Ltd 99,South East,10/06/2021,B
ACC0100,Harrow Sports Club 100,Midlands,07/09/2024,C
ACC0101,"Wembley Tyres, Ltd 101",London,23/03/2023,C
ACC0102,Harrow Sports Club 102,South East,20/07/2024,C
ACC0103,Sandbrook Utilities 103,North West,22/07/2023,C
ACC0104,"Wembley Tyres, Ltd 104",Midlands,02/09/2023,A
ACC0105,Ashvale Clinic 105,Midlands,07/05/2025,B
ACC0106,Sandbrook Utilities 106,North West,26/12/2022,A
ACC0107,The Old Print Works 107,Midlands,22/07/2022,B
ACC0108,Sandbrook Utilities 108,London,27/10/2024,B
ACC0109,Bolt & Screw Ltd 109,London,20/12/2023,B
ACC0110,Corner Cafe 110,South East,10/12/2023,B
ACC0111,The Old Print Works 111,Midlands,07/03/2023,B
ACC0112,Sandbrook Utilities 112,Scotland,04/04/2022,C
ACC0113,Ashvale Clinic 113,Midlands,14/12/2024,B
ACC0114,Corner Cafe 114,South East,26/01/2023,A
ACC0115,Northline Freight 115,London,24/11/2021,A
ACC0116,Northline Freight 116,London,17/01/2022,B
ACC0117,Bolt & Screw Ltd 117,Midlands,14/08/2020,A
ACC0118,Kite Digital 118,London,22/07/2023,C
ACC0119,Northline Freight 119,Scotland,24/09/2024,A
ACC0120,Sandbrook Utilities 120,South East,03/11/2024,B
