txn_id,posted_date,account_id,merchant_name,gross_amount,currency,channel,status
A000041,02/03/2026,ACC0010,The Old Print Works,308.62,GBP,direct_debit,pending
A000042,01/02/2026,ACC0020,Sandbrook Utilities,108.67,GBP,card,reversed
A000043,31/03/2026,ACC0059,Bolt & Screw Ltd,178.08,GBP,card,settled
A000044,17/01/2026,ACC0017,Petra Logistics,81.0,EUR,bank_transfer,reversed
A000045,25/02/2026,ACC0010,Northline Freight,83.27,GBP,bank_transfer,settled
A000046,19/02/2026,ACC0001,Corner Cafe,6.34,GBP,card,pending
A000047,05/02/2026,ACC0031,Sandbrook Utilities,217.08,gbp,card,pending
A000048,25/03/2026,ACC0054,Bolt & Screw Ltd,54.07,EUR,card,reversed
A000049,24/02/2026,ACC0005,Ashvale Clinic,154.1,EUR,direct_debit,settled
A000050,29/03/2026,ACC0009,"Wembley Tyres, Ltd",4.33,USD,card,settled
A000051,25/01/2026,ACC0098,Northline Freight,28.43,GBP,bank_transfer,pending
A000052,20/03/2026,ACC0054,Petra Logistics,25.54,GBP,bank_transfer,settled
A000053,20/02/2026,ACC0091,Corner Cafe,74.46,gbp,direct_debit,pending
A000054,10/02/2026,  ACC0024 ,Petra Logistics,183.87,GBP,direct_debit,settled
A000055,09/02/2026,ACC0048,Dhillon & Sons,89.96,USD,card,settled
A000056,01/01/2026,ACC0072,"Wembley Tyres, Ltd",14.71,USD,card,settled
A000057,25/02/2026,ACC0058,"Wembley Tyres, Ltd",15.6,EUR,card,reversed
A000058,02/03/2026,ACC0104,Petra Logistics,12.13,USD,card,pending
A000059,05/01/2026,ACC0008,Northline Freight,38.67,gbp,card,failed
A000060,13/02/2026,ACC0079,Corner Cafe,37.01,EUR,card,settled
A000061,08/02/2026,ACC0009,Corner Cafe,467.37,gbp,card,pending
A000062,01/03/2026,ACC0033,The Old Print Works,220.57,USD,card,pending
A000063,24/01/2026,ACC0020,"Marlow ""Fine"" Foods",16.35,gbp,card,settled
A000064,28/02/2026,ACC0011,Sandbrook Utilities,16.49,gbp,direct_debit,settled
A000065,01/02/2026,ACC0062,Sandbrook Utilities,33.22,GBP,card,settled
A000066,24/02/2026,ACC0013,The Old Print Works,33.64,USD,direct_debit,settled
A000067,30/01/2026,ACC0115,Petra Logistics,15.11,gbp,bank_transfer,reversed
A000068,16/01/2026,ACC0036,"Marlow ""Fine"" Foods",115.32,EUR,card,settled
A000069,03/02/2026,ACC0032,"Wembley Tyres, Ltd",25.68,gbp,card,failed
A000070,25/01/2026,ACC0032,Sandbrook Utilities,31.73,GBP,card,reversed
A000071,13/01/2026,ACC0105,"Wembley Tyres, Ltd",13.08,USD,card,settled
A000072,03/08/2026,ACC0025,Bolt & Screw Ltd,164.36,EUR,bank_transfer,settled
A000073,27/02/2026,ACC0086,Corner Cafe,129.57,GBP,bank_transfer,reversed
A000074,21/03/2026,ACC0044,Harrow Sports Club,40.66,GBP,card,settled
A000075,05/01/2026,ACC0027,Corner Cafe,93.56,EUR,direct_debit,reversed
A000076,17/02/2026,ACC0027,Corner Cafe,23.02,USD,bank_transfer,pending
A000077,09/01/2026,ACC0085,Sandbrook Utilities,23.36,gbp,bank_transfer,settled
A000078,25/03/2026,ACC0053,Northline Freight,6.8,GBP,card,pending
A000079,07/01/2026,ACC0046,The Old Print Works,24.12,USD,card,settled
A000080,24/03/2026,ACC0027,Corner Cafe,6.68,USD,card,pending
A000081,15/01/2026,ACC0114,Dhillon & Sons,151.13,USD,card,settled
A000082,02/01/2026,ACC0074,"Marlow ""Fine"" Foods",142.4,EUR,bank_transfer,settled
A000083,19/01/2026,ACC0022,Bolt & Screw Ltd,38.77,GBP,direct_debit,pending
A000084,26/01/2026,ACC0006,Kite Digital,5.47,EUR,card,failed
A000085,23/03/2026,ACC0080,Ashvale Clinic,6.0,gbp,card,failed
A000086,21/02/2026,ACC0061,Harrow Sports Club,71.47,GBP,card,settled
A000087,21/02/2026,ACC0093,"Wembley Tyres, Ltd",39.95,GBP,bank_transfer,reversed
A000088,05/01/2026,ACC0050,"Marlow ""Fine"" Foods",87.25,USD,bank_transfer,reversed
A000089,09/02/2026,ACC0032,The Old Print Works,81.98,USD,card,pending
A000090,06/03/2026,ACC0080,Kite Digital,48.47,USD,card,pending
A000091,21/03/2026,ACC0023,Kite Digital,144.79,USD,card,settled
A000092,08/02/2026,ACC0103,Kite Digital,35.86,GBP,bank_transfer,reversed
A000093,06/01/2026,ACC0093,Sandbrook Utilities,174.29,GBP,card,failed
A000094,18/02/2026,ACC0004,Bolt & Screw Ltd,207.67,GBP,card,settled
A000095,17/01/2026,ACC0104,Harrow Sports Club,326.7,GBP,card,settled
A000096,14/02/2026,ACC0042,"Marlow ""Fine"" Foods",72.15,EUR,direct_debit,settled
A000097,02/02/2026,ACC0027,"Marlow ""Fine"" Foods",57.53,EUR,bank_transfer,failed
A000098,31/01/2026,ACC0024,The Old Print Works,38.3,gbp,card,reversed
A000099,11/02/2026,ACC0101,Northline Freight,133.97,GBP,bank_transfer,settled
A000100,23/03/2026,ACC0089,Bolt & Screw Ltd,45.37,EUR,bank_transfer,reversed
A000101,20/02/2026,ACC0049,Dhillon & Sons,111.53,GBP,card,settled
A000102,12/02/2026,ACC0023,"Marlow ""Fine"" Foods",133.68,GBP,card,settled
A000103,08/03/2026,ACC0112,"Marlow ""Fine"" Foods",15.05,GBP,card,reversed
A000104,01/01/2026,ACC0038,"Marlow ""Fine"" Foods",99.4,GBP,direct_debit,pending
A000105,04/03/2026,ACC0063,"Wembley Tyres, Ltd",41.71,GBP,card,settled
A000106,07/01/2026,ACC0014,Sandbrook Utilities,12.74,EUR,bank_transfer,settled
A000107,22/02/2026,ACC0027,Dhillon & Sons,80.15,GBP,direct_debit,settled
A000108,18/01/2026,ACC0009,Petra Logistics,111.38,gbp,card,pending
A000109,03/02/2026,ACC0078,Sandbrook Utilities,83.43,GBP,direct_debit,settled
A000110,22/01/2026,ACC0031,Harrow Sports Club,60.35,GBP,card,settled
A000111,20/03/2026,ACC0019,The Old Print Works,277.7,gbp,bank_transfer,failed
A000112,24/03/2026,ACC0105,"Marlow ""Fine"" Foods",56.63,gbp,bank_transfer,settled
A000113,09/01/2026,ACC0114,Ashvale Clinic,36.74,USD,bank_transfer,settled
A000114,18/02/2026,ACC0060,Bolt & Screw Ltd,699.79,GBP,direct_debit,settled
A000115,29/01/2026,ACC0115,Ashvale Clinic,74.44,GBP,card,reversed
A000116,07/01/2026,ACC0056,Petra Logistics,20.29,GBP,card,settled
A000117,24/03/2026,ACC0022,Northline Freight,11.15,gbp,card,settled
A000118,11/02/2026,ACC0077,"Wembley Tyres, Ltd",21.09,USD,bank_transfer,pending
A000119,02/03/2026,ACC0110,Corner Cafe,454.88,USD,card,failed
A000120,09/02/2026,ACC0075,Bolt & Screw Ltd,133.88,GBP,card,settled
A000121,05/01/2026,ACC0019,Ashvale Clinic,187.83,GBP,card,settled
A000122,18/01/2026,ACC0090,Bolt & Screw Ltd,147.35,GBP,card,settled
A000123,17/03/2026,ACC0105,Sandbrook Utilities,101.18,GBP,card,reversed
A000124,19/02/2026,ACC0015,Corner Cafe,21.47,GBP,card,reversed
A000125,22/03/2026,ACC0013,Petra Logistics,34.96,gbp,card,settled
A000126,13/02/2026,ACC0033,Northline Freight,47.14,GBP,card,settled
A000127,19/03/2026,ACC0080,Ashvale Clinic,57.25,GBP,direct_debit,settled
A000128,25/02/2026,ACC0061,Ashvale Clinic,56.77,GBP,bank_transfer,failed
A000129,28/01/2026,ACC0074,Northline Freight,572.4,gbp,direct_debit,settled
A000130,09/03/2026,ACC0007,Corner Cafe,5.13,EUR,direct_debit,settled
A000131,04/03/2026,ACC0064,"Marlow ""Fine"" Foods",449.93,EUR,bank_transfer,settled
A000132,15/03/2026,ACC0028,Ashvale Clinic,175.81,gbp,direct_debit,settled
A000133,15/01/2026,ACC0072,Bolt & Screw Ltd,6.94,GBP,card,settled
A000134,13/01/2026,ACC0114,Ashvale Clinic,40.14,GBP,direct_debit,reversed
A000135,04/01/2026,ACC0055,Sandbrook Utilities,38.6,GBP,card,pending
A000136,22/03/2026,ACC0069,"Marlow ""Fine"" Foods",21.49,GBP,bank_transfer,reversed
A000137,05/01/2026,ACC0020,Kite Digital,35.71,GBP,bank_transfer,reversed
A000138,11/02/2026,ACC0099,Northline Freight,17.97,GBP,card,settled
A000139,12/02/2026,ACC0031,Sandbrook Utilities,29.26,gbp,card,settled
A000140,21/03/2026,ACC0032,Ashvale Clinic,25.22,EUR,bank_transfer,failed
A000141,14/02/2026,ACC0025,Northline Freight,21.07,GBP,card,settled
A000142,26/03/2026,ACC0019,Northline Freight,16.11,GBP,card,pending
A000143,05/02/2026,ACC0014,Northline Freight,11.2,gbp,direct_debit,pending
A000144,05/01/2026,ACC0081,Northline Freight,46.8,USD,card,settled
A000145,02/02/2026,ACC0095,"Wembley Tyres, Ltd",75.85,USD,bank_transfer,failed
A000146,24/03/2026,ACC0093,Petra Logistics,45.02,GBP,bank_transfer,settled
A000147,28/03/2026,ACC0056,Dhillon & Sons,27.49,EUR,card,pending
A000148,01/02/2026,ACC0081,Harrow Sports Club,349.91,EUR,direct_debit,pending
A000149,28/02/2026,ACC0112,Harrow Sports Club,60.44,GBP,card,settled
A000150,10/04/2026,ACC0028,Harrow Sports Club,20.25,GBP,card,failed
A000151,14/02/2026,ACC0070,"Wembley Tyres, Ltd",9.31,GBP,direct_debit,failed
A000152,03/01/2026,ACC0067,Dhillon & Sons,253.84,USD,direct_debit,settled
A000153,29/03/2026,ACC0120,Bolt & Screw Ltd,16.0,GBP,bank_transfer,settled
A000154,23/03/2026,ACC0052,Corner Cafe,17.24,GBP,card,pending
A000155,23/02/2026,ACC0075,Northline Freight,115.15,GBP,card,settled
A000156,21/02/2026,ACC0029,The Old Print Works,315.9,USD,card,settled
A000500,17/01/2026,ACC0083,Sandbrook Utilities,109.72,GBP,card,settled
A000158,15/02/2026,ACC0102,The Old Print Works,347.48,USD,card,failed
A000159,25/03/2026,ACC0035,Ashvale Clinic,8.71,USD,card,pending
A000160,28/03/2026,ACC0032,Petra Logistics,97.74,EUR,card,pending
A000161,04/03/2026,ACC0085,Dhillon & Sons,37.64,gbp,card,pending
A000162,08/01/2026,ACC0042,Harrow Sports Club,9.05,GBP,card,reversed
A000163,16/03/2026,ACC0019,"Wembley Tyres, Ltd",32.3,gbp,direct_debit,settled
A000164,20/01/2026,ACC0069,Harrow Sports Club,21.75,GBP,bank_transfer,settled
A000165,27/03/2026,ACC0082,Northline Freight,292.57,gbp,direct_debit,reversed
A000166,28/01/2026,ACC0057,Petra Logistics,68.39,GBP,bank_transfer,settled
A000167,03/05/2026,ACC0061,Kite Digital,22.57,GBP,card,pending
A000168,01/03/2026,ACC0077,Ashvale Clinic,30.8,GBP,card,settled
A000169,01/03/2026,ACC0038,Kite Digital,113.95,EUR,direct_debit,pending
A000170,28/03/2026,ACC0082,Petra Logistics,6.0,GBP,card,failed
A000171,06/01/2026,ACC0115,Harrow Sports Club,56.76,GBP,card,reversed
A000172,23/02/2026,ACC0111,Petra Logistics,78.06,EUR,card,pending
A000173,09/03/2026,ACC0037,The Old Print Works,175.05,EUR,direct_debit,settled
A000174,12/03/2026,ACC0046,Kite Digital,16.65,USD,card,failed
A000175,07/05/2026,ACC0027,Petra Logistics,159.85,USD,card,settled
A000176,25/01/2026,ACC0532,Petra Logistics,33.36,GBP,card,pending
A000177,12/03/2026,ACC0007,The Old Print Works,270.61,EUR,card,settled
A000178,06/01/2026,ACC0101,Sandbrook Utilities,99.46,GBP,bank_transfer,pending
A000179,20/03/2026,ACC0089,"Marlow ""Fine"" Foods",7.09,GBP,card,settled
A000180,10/06/2026,ACC0098,Harrow Sports Club,97.64,GBP,card,settled
A000181,23/02/2026,ACC0106,Harrow Sports Club,86.97,EUR,bank_transfer,reversed
A000182,03/02/2026,ACC0005,Dhillon & Sons,126.34,GBP,direct_debit,failed
A000183,24/03/2026,ACC0064,"Marlow ""Fine"" Foods",303.18,GBP,card,settled
A000184,23/02/2026,ACC0058,Bolt & Screw Ltd,313.19,GBP,direct_debit,failed
A000185,17/03/2026,ACC0061,"Wembley Tyres, Ltd",60.37,gbp,card,pending
A000186,01/01/2026,ACC0061,Corner Cafe,29.81,EUR,bank_transfer,settled
A000187,27/02/2026,ACC0007,Dhillon & Sons,93.92,GBP,card,reversed
A000188,11/01/2026,ACC0064,Kite Digital,22.6,GBP,card,settled
A000189,04/09/2026,ACC0011,The Old Print Works,259.02,EUR,card,reversed
A000190,18/03/2026,ACC0048,"Marlow ""Fine"" Foods",53.12,GBP,direct_debit,pending
A000191,28/03/2026,ACC0058,Northline Freight,44.88,GBP,card,settled
A000192,05/02/2026,ACC0043,"Marlow ""Fine"" Foods",503.95,GBP,card,settled
A000193,18/03/2026,ACC0114,"Wembley Tyres, Ltd",247.47,USD,direct_debit,reversed
A000194,18/02/2026,ACC0104,Kite Digital,346.85,EUR,card,settled
A000195,03/02/2026,ACC0118,Corner Cafe,32.48,EUR,card,failed
A000196,19/01/2026,ACC0104,Sandbrook Utilities,3.1,GBP,direct_debit,settled
A000197,10/03/2026,ACC0103,The Old Print Works,9.45,gbp,card,settled
A000198,19/03/2026,ACC0091,"Wembley Tyres, Ltd",13.72,EUR,bank_transfer,settled
A000199,19/02/2026,ACC0104,Dhillon & Sons,50.23,GBP,card,pending
A000200,16/03/2026,ACC0107,Sandbrook Utilities,57.61,EUR,direct_debit,failed
A000201,17/03/2026,ACC0012,Harrow Sports Club,26.72,GBP,card,settled
A000202,15/03/2026,ACC0067,Harrow Sports Club,66.92,gbp,card,pending
A000203,17/02/2026,ACC0060,Bolt & Screw Ltd,164.08,gbp,card,failed
A000204,04/01/2026,ACC0003,Bolt & Screw Ltd,29.7,GBP,card,failed
A000205,04/03/2026,ACC0119,Northline Freight,67.23,USD,card,pending
A000206,17/03/2026,ACC0011,Corner Cafe,27.42,GBP,card,failed
A000207,17/02/2026,ACC0109,Bolt & Screw Ltd,198.59,GBP,direct_debit,settled
A000208,12/01/2026,ACC0083,Bolt & Screw Ltd,19.07,GBP,bank_transfer,pending
A000209,24/01/2026,ACC0031,Ashvale Clinic,48.62,gbp,card,settled
A000210,02/02/2026,ACC0118,Corner Cafe,60.49,EUR,bank_transfer,reversed
A000211,24/03/2026,ACC0590,Harrow Sports Club,142.0,EUR,card,settled
A000212,28/03/2026,ACC0057,Petra Logistics,171.04,GBP,direct_debit,settled
A000213,08/06/2026,ACC0062,The Old Print Works,32.35,gbp,direct_debit,settled
A000214,19/01/2026,ACC0103,Corner Cafe,27.3,gbp,card,settled
A000215,21/03/2026,ACC0013,The Old Print Works,15.96,GBP,card,pending
A000216,13/02/2026,ACC0015,Petra Logistics,35.27,EUR,card,settled
A000217,29/01/2026,ACC0058,Sandbrook Utilities,94.01,gbp,direct_debit,settled
A000218,04/02/2026,ACC0004,Northline Freight,44.49,GBP,card,settled
A000219,22/01/2026,ACC0059,Kite Digital,32.88,GBP,card,failed
A000220,08/01/2026,ACC0119,"Wembley Tyres, Ltd",174.85,GBP,direct_debit,settled
A000221,16/01/2026,ACC0047,The Old Print Works,30.8,EUR,card,settled
A000222,13/01/2026,ACC0021,Corner Cafe,38.29,GBP,card,settled
A000223,23/03/2026,ACC0001,Sandbrook Utilities,38.51,EUR,card,settled
A000224,25/02/2026,ACC0036,"Marlow ""Fine"" Foods",12.59,gbp,card,settled
A000225,08/03/2026,ACC0026,"Marlow ""Fine"" Foods",320.45,GBP,card,failed
A000226,05/03/2026,ACC0018,"Marlow ""Fine"" Foods",99.27,GBP,card,failed
A000227,09/02/2026,ACC0093,Corner Cafe,114.66,GBP,card,settled
A000228,06/02/2026,ACC0117,Kite Digital,53.87,gbp,card,settled
A000229,24/01/2026,ACC0046,Sandbrook Utilities,147.84,USD,bank_transfer,settled
A000230,16/01/2026,ACC0107,Dhillon & Sons,38.17,GBP,direct_debit,failed
A000231,08/01/2026,ACC0094,Kite Digital,35.13,USD,bank_transfer,settled
A000232,09/03/2026,ACC0032,Bolt & Screw Ltd,106.04,gbp,bank_transfer,settled
A000233,22/01/2026,ACC0105,Corner Cafe,20.08,GBP,card,reversed
A000234,09/09/2026,ACC0082,"Marlow ""Fine"" Foods",3.43,USD,bank_transfer,settled
A000235,31/03/2026,ACC0013,Ashvale Clinic,46.43,gbp,card,settled
A000236,06/12/2026,ACC0098,Northline Freight,46.52,GBP,card,settled
A000237,21/02/2026,ACC0030,"Wembley Tyres, Ltd",,gbp,bank_transfer,pending
A000238,20/02/2026,ACC0054,"Marlow ""Fine"" Foods",210.8,GBP,bank_transfer,settled
A000239,04/05/2026,ACC0108,Dhillon & Sons,35.5,GBP,direct_debit,failed
A000240,11/02/2026,ACC0088,Dhillon & Sons,9.53,gbp,direct_debit,reversed
A000241,22/03/2026,ACC0026,Sandbrook Utilities,22.81,GBP,card,settled
A000242,18/01/2026,ACC0120,Kite Digital,42.6,GBP,card,settled
A000243,05/01/2026,ACC0118,Petra Logistics,336.98,GBP,card,reversed
A000244,11/03/2026,ACC0008,"Marlow ""Fine"" Foods",38.65,GBP,card,settled
A000245,01/03/2026,ACC0057,Bolt & Screw Ltd,666.32,GBP,card,settled
A000246,22/02/2026,ACC0095,Bolt & Screw Ltd,66.76,GBP,bank_transfer,settled
A000247,28/02/2026,ACC0084,The Old Print Works,88.48,gbp,bank_transfer,reversed
A000248,16/02/2026,ACC0079,Kite Digital,46.37,USD,card,settled
A000249,01/02/2026,ACC0070,The Old Print Works,37.08,GBP,direct_debit,settled
A000250,15/02/2026,ACC0035,Northline Freight,33.36,gbp,card,settled
A000251,03/01/2026,ACC0008,Sandbrook Utilities,190.77,USD,direct_debit,settled
A000252,14/01/2026,ACC0087,Ashvale Clinic,2193.93,gbp,direct_debit,settled
A000253,10/04/2026,ACC0079,"Marlow ""Fine"" Foods",23.16,EUR,bank_transfer,settled
A000254,02/03/2026,ACC0081,Ashvale Clinic,16.74,gbp,direct_debit,settled
A000255,01/01/2026,ACC0016,Kite Digital,37.5,USD,bank_transfer,settled
A000256,23/02/2026,ACC0080,"Marlow ""Fine"" Foods",136.5,GBP,direct_debit,pending
A000257,30/03/2026,ACC0038,Dhillon & Sons,40.98,USD,bank_transfer,failed
A000258,18/03/2026,ACC0101,Ashvale Clinic,39.59,USD,direct_debit,pending
A000259,08/02/2026,ACC0019,The Old Print Works,23.19,GBP,direct_debit,failed
A000260,30/01/2026,ACC0108,"Wembley Tyres, Ltd",6.54,EUR,card,pending
A000261,02/01/2026,ACC0069,Northline Freight,158.69,GBP,bank_transfer,pending
A000262,08/03/2026,ACC0056,The Old Print Works,519.13,USD,card,settled
A000263,18/03/2026,ACC0002,Petra Logistics,100.29,GBP,bank_transfer,settled
A000264,13/01/2026,ACC0084,Sandbrook Utilities,38.78,GBP,card,settled
A000265,23/02/2026,ACC0080,"Marlow ""Fine"" Foods",52.21,EUR,bank_transfer,reversed
A000266,12/01/2026,ACC0010,Northline Freight,21.95,GBP,card,settled
A000267,25/03/2026,ACC0021,Sandbrook Utilities,193.41,EUR,bank_transfer,settled
A000268,06/03/2026,ACC0008,Petra Logistics,192.92,GBP,bank_transfer,settled
A000269,15/02/2026,ACC0093,Corner Cafe,78.07,GBP,direct_debit,settled
A000270,01/01/2026,ACC0001,Northline Freight,16.79,USD,card,failed
A000271,02/01/2026,ACC0064,Sandbrook Utilities,81.04,GBP,card,reversed
A000272,10/03/2026,ACC0026,The Old Print Works,56.35,GBP,card,settled
A000273,12/02/2026,ACC0004,Bolt & Screw Ltd,58.61,GBP,card,failed
A000274,06/01/2026,ACC0104,Corner Cafe,263.94,GBP,card,reversed
A000275,03/10/2026,ACC0046,Northline Freight,16.86,gbp,card,settled
A000276,22/03/2026,ACC0058,"Marlow ""Fine"" Foods",69.3,USD,card,settled
A000277,29/01/2026,ACC0006,Kite Digital,319.23,GBP,bank_transfer,settled
A000278,01/02/2026,ACC0076,Harrow Sports Club,29.31,EUR,card,pending
A000279,08/02/2026,ACC0114,Kite Digital,44.44,GBP,card,reversed
A000280,19/02/2026,ACC0053,Northline Freight,120.9,USD,direct_debit,settled
A000281,01/02/2026,ACC0049,Harrow Sports Club,21.37,GBP,card,pending
A000282,13/03/2026,ACC0112,The Old Print Works,-37.0,EUR,direct_debit,reversed
A000283,09/01/2026,ACC0117,Dhillon & Sons,246.3,GBP,card,pending
A000284,25/01/2026,ACC0056,Corner Cafe,49.65,EUR,card,settled
A000285,20/01/2026,ACC0026,Northline Freight,31.19,GBP,card,failed
A000286,09/01/2026,ACC0031,Harrow Sports Club,40.32,EUR,card,settled
A000287,21/02/2026,ACC0058,Petra Logistics,55.25,gbp,card,failed
A000288,26/02/2026,ACC0032,The Old Print Works,70.91,GBP,bank_transfer,settled
A000289,17/01/2026,ACC0035,Ashvale Clinic,57.61,USD,card,reversed
A000290,14/03/2026,ACC0100,"Wembley Tyres, Ltd",200.78,EUR,card,reversed
A000291,14/01/2026,ACC0025,Bolt & Screw Ltd,592.42,GBP,card,settled
A000292,29/01/2026,ACC0052,Northline Freight,6.18,EUR,direct_debit,pending
A000293,22/03/2026,ACC0004,Dhillon & Sons,20.92,GBP,card,pending
A000294,04/01/2026,ACC0032,The Old Print Works,148.12,EUR,card,settled
A000295,07/02/2026,ACC0006,The Old Print Works,253.85,GBP,bank_transfer,settled
A000296,25/02/2026,ACC0049,Ashvale Clinic,24.11,GBP,bank_transfer,settled
A000297,22/03/2026,ACC0108,"Wembley Tyres, Ltd",75.05,GBP,direct_debit,reversed
A000298,08/03/2026,ACC0088,"Marlow ""Fine"" Foods",24.07,EUR,card,settled
A000299,25/03/2026,ACC0110,"Marlow ""Fine"" Foods",35.83,GBP,card,settled
A000300,29/03/2026,ACC0089,Ashvale Clinic,91.4,USD,bank_transfer,settled
A000301,05/02/2026,ACC0055,Kite Digital,59.1,EUR,bank_transfer,reversed
A000302,30/03/2026,ACC0058,Sandbrook Utilities,291.32,GBP,card,pending
A000303,28/03/2026,ACC0017,Kite Digital,74.59,gbp,card,reversed
A000304,13/03/2026,ACC0100,Petra Logistics,20.22,gbp,bank_transfer,settled
A000305,01/02/2026,ACC0082,Northline Freight,39.74,gbp,card,reversed
A000306,04/03/2026,ACC0031,Corner Cafe,83.24,GBP,direct_debit,settled
A000307,24/03/2026,ACC0114,Ashvale Clinic,36.6,gbp,bank_transfer,failed
A000308,31/01/2026,ACC0071,The Old Print Works,9.96,gbp,card,failed
A000309,01/03/2026,ACC0027,Bolt & Screw Ltd,160.56,GBP,card,settled
A000310,16/02/2026,ACC0115,Northline Freight,53.17,EUR,card,settled
A000311,31/03/2026,ACC0073,Dhillon & Sons,17.26,EUR,card,failed
A000312,10/01/2026,ACC0097,Kite Digital,10.88,GBP,card,reversed
A000313,14/03/2026,ACC0056,Kite Digital,15.6,gbp,bank_transfer,settled
A000314,02/01/2026,ACC0037,Petra Logistics,40.77,GBP,card,reversed
A000315,01/02/2026,ACC0019,Northline Freight,12.41,EUR,card,reversed
A000316,09/03/2026,ACC0042,The Old Print Works,613.77,gbp,card,settled
A000317,30/01/2026,ACC0048,Northline Freight,31.41,gbp,card,settled
A000318,14/01/2026,ACC0105,Ashvale Clinic,76.66,USD,card,settled
A000319,05/03/2026,ACC0039,"Marlow ""Fine"" Foods",31.82,GBP,card,settled
A000320,30/03/2026,ACC0082,The Old Print Works,30.06,GBP,card,pending
A000321,03/03/2026,ACC0001,Corner Cafe,6.65,GBP,bank_transfer,pending
A000322,19/01/2026,ACC0066,Ashvale Clinic,16.3,USD,card,settled
A000323,26/02/2026,ACC0049,Northline Freight,5.93,GBP,direct_debit,failed
A000324,28/03/2026,ACC0011,Sandbrook Utilities,38.23,EUR,bank_transfer,pending
A000325,24/02/2026,ACC0039,"Marlow ""Fine"" Foods",127.98,GBP,direct_debit,settled
A000326,03/03/2026,ACC0111,Dhillon & Sons,76.87,GBP,card,settled
A000327,29/01/2026,ACC0011,Harrow Sports Club,100.5,GBP,bank_transfer,settled
A000328,13/03/2026,ACC0068,"Wembley Tyres, Ltd",70.89,GBP,direct_debit,pending
A000329,03/02/2026,ACC0114,"Wembley Tyres, Ltd",22.46,GBP,card,settled
A000330,02/02/2026,ACC0086,Northline Freight,77.3,GBP,direct_debit,settled
